timestamp,Living Room Temperature,Living Room Humidity,spaceId
2025-04-02T17:05:40.831Z,20.6,68.4,41413915
# Logging stopped at 2025-04-02T17:06:11.500Z
2025-04-02T17:06:12.056Z,20.6,68.4,41413915
2025-04-02T17:06:20.696Z,20.6,68.4,41413915
# Logging stopped at 2025-04-02T17:06:34.167Z
2025-04-02T17:07:04.761Z,20.6,68.4,41413915
2025-04-02T17:07:34.715Z,20.6,68.4,41413915
2025-04-02T17:08:04.741Z,20.6,68.4,41413915
2025-04-02T17:08:34.981Z,20.6,68.6,41413915
2025-04-02T17:09:04.717Z,20.6,68.6,41413915
2025-04-02T17:09:34.765Z,20.6,68.6,41413915
2025-04-02T17:10:04.845Z,20.6,68.6,41413915
2025-04-02T17:10:34.775Z,20.6,68.6,41413915
2025-04-02T17:11:04.844Z,20.6,68.6,41413915
2025-04-02T17:11:34.724Z,20.6,68.6,41413915
2025-04-02T17:12:04.674Z,20.6,68.6,41413915
2025-04-02T17:12:34.819Z,20.6,68.6,41413915
2025-04-02T17:13:04.770Z,20.6,68.6,41413915
2025-04-02T17:13:34.700Z,20.6,68.6,41413915
2025-04-02T17:14:04.737Z,20.6,68.6,41413915
2025-04-02T17:14:34.740Z,20.6,68.7,41413915
2025-04-02T17:15:04.782Z,20.6,68.7,41413915
2025-04-02T17:15:34.717Z,20.6,68.7,41413915
2025-04-02T17:16:04.721Z,20.6,68.7,41413915
2025-04-02T17:16:34.722Z,20.6,68.7,41413915
2025-04-02T17:17:04.983Z,20.6,68.7,41413915
2025-04-02T17:17:34.759Z,20.6,68.8,41413915
2025-04-02T17:18:04.827Z,20.6,68.8,41413915
2025-04-02T17:18:34.983Z,20.6,68.8,41413915
2025-04-02T17:19:05.109Z,20.6,68.7,41413915
2025-04-02T17:19:34.716Z,20.6,68.7,41413915
2025-04-02T17:20:04.745Z,20.6,68.7,41413915
2025-04-02T17:20:34.985Z,20.6,68.7,41413915
2025-04-02T17:21:04.879Z,20.6,68.7,41413915
2025-04-02T17:21:34.781Z,20.6,68.7,41413915
2025-04-02T17:22:04.726Z,20.6,68.8,41413915
2025-04-02T17:22:35.363Z,20.6,68.8,41413915
2025-04-02T17:23:04.855Z,20.6,68.8,41413915
2025-04-02T17:23:34.893Z,20.6,68.8,41413915
2025-04-02T17:24:04.940Z,20.6,68.8,41413915
2025-04-02T17:24:34.704Z,20.6,69,41413915
2025-04-02T17:25:34.846Z,20.6,69,41413915
2025-04-02T17:26:05.002Z,20.6,69,41413915
